model,target,fold,mae,rmse,mape,r2,train_samples,test_samples
Ridge,Quantity,Fold 1,467.4604543075679,1469.8631474178044,736.7500332399927,-1.3595174241965697,135,86
ElasticNet,Quantity,Fold 1,433.07524884933946,1421.6018904723435,690.8033810042409,-1.2071170756536107,135,86
RandomForest,Quantity,Fold 1,101.88412169472699,351.75796253668534,13.20393762893838,0.8648682938086222,135,86
GradientBoosting,Quantity,Fold 1,24.64668416925144,62.221683028815654,6.209867351172953,0.9957718255811051,135,86
Ridge,Quantity,Fold 2,135.95298144539834,255.6638169695136,103.82505493661579,0.6026259450161199,186,66
ElasticNet,Quantity,Fold 2,149.06026817676127,243.9450434887129,144.92679920659265,0.6382196554183628,186,66
RandomForest,Quantity,Fold 2,43.84172387314561,201.08260909884092,10.135414724317009,0.7541840865662144,186,66
GradientBoosting,Quantity,Fold 2,15.94633376416399,69.7393267932345,2.6005650210980154,0.9704323728842071,186,66
Ridge,Quantity,Fold 3,156.04300421224985,254.0677005568838,454.28703686224185,-0.5985072431669969,221,60
ElasticNet,Quantity,Fold 3,152.34674632015586,264.330516417213,443.7638119934447,-0.7302557586167291,221,60
RandomForest,Quantity,Fold 3,7.608512432997113,14.699776871233109,10.538267625351972,0.9946489725395979,221,60
GradientBoosting,Quantity,Fold 3,2.599563271312567,5.3369772651046645,1.975871263371643,0.9992946471913773,221,60
